id,measurement_seq_start_time,availability,mut,mdt,mtbf,measurement_start_time,measurement_end_time,fault_profile,cluster_type,measurement_count,load_duration,locust_user_count,locust_spawn_rate,prev_git_commit_short,comment
66151945-dd5d-498d-8cf1-7889b2f5045b,04-10-2021_13-46-58.258675,0.95,285.0,30.0,315.0,04-10-2021_14-09-42.384440,04-10-2021_14-19-48.889603,stress-cpu,eks,10,600,1,1,999a2a5,First stress CPU test
66151945-dd5d-498d-8cf1-7889b2f5045b,04-10-2021_13-46-58.258675,0.9749999999999998,292.5,15.0,307.5,04-10-2021_14-22-29.654551,04-10-2021_14-32-36.330301,stress-cpu,eks,10,600,1,1,999a2a5,First stress CPU test
66151945-dd5d-498d-8cf1-7889b2f5045b,04-10-2021_13-46-58.258675,0.9249999999999999,138.75,15.0,153.75,04-10-2021_14-35-11.569823,04-10-2021_14-45-18.225854,stress-cpu,eks,10,600,1,1,999a2a5,First stress CPU test
66151945-dd5d-498d-8cf1-7889b2f5045b,04-10-2021_13-46-58.258675,0.9249999999999997,185.0,22.5,207.5,04-10-2021_14-48-28.458879,04-10-2021_14-58-35.949436,stress-cpu,eks,10,600,1,1,999a2a5,First stress CPU test
66151945-dd5d-498d-8cf1-7889b2f5045b,04-10-2021_13-46-58.258675,0.9743589743589741,292.5,15.0,307.5,04-10-2021_15-00-58.023414,04-10-2021_15-11-05.667039,stress-cpu,eks,10,600,1,1,999a2a5,First stress CPU test
66151945-dd5d-498d-8cf1-7889b2f5045b,04-10-2021_13-46-58.258675,1.0,600.0,nan,nan,04-10-2021_15-13-15.090981,04-10-2021_15-23-23.406594,stress-cpu,eks,10,600,1,1,999a2a5,First stress CPU test
66151945-dd5d-498d-8cf1-7889b2f5045b,04-10-2021_13-46-58.258675,0.9499999999999998,190.0,15.0,205.0,04-10-2021_15-25-44.739474,04-10-2021_15-35-53.582131,stress-cpu,eks,10,600,1,1,999a2a5,First stress CPU test
66151945-dd5d-498d-8cf1-7889b2f5045b,04-10-2021_13-46-58.258675,0.8999999999999999,108.0,15.0,123.0,04-10-2021_15-39-14.682508,04-10-2021_15-49-23.318402,stress-cpu,eks,10,600,1,1,999a2a5,First stress CPU test
abddcd4f-e494-4e72-9883-f78883f76d32,04-10-2021_16-12-38.022300,0.7948717948717949,93.0,24.0,117.0,04-10-2021_16-12-46.046337,04-10-2021_16-22-54.654063,stress-mem,eks,10,600,1,1,b1e601d,First stress memory test
abddcd4f-e494-4e72-9883-f78883f76d32,04-10-2021_16-12-38.022300,0.9749999999999998,292.5,15.0,307.5,04-10-2021_16-25-14.004955,04-10-2021_16-35-21.672532,stress-mem,eks,10,600,1,1,b1e601d,First stress memory test
abddcd4f-e494-4e72-9883-f78883f76d32,04-10-2021_16-12-38.022300,0.9230769230769231,135.0,15.0,150.0,04-10-2021_16-38-44.185599,04-10-2021_16-48-52.308148,stress-mem,eks,10,600,1,1,b1e601d,First stress memory test
abddcd4f-e494-4e72-9883-f78883f76d32,04-10-2021_16-12-38.022300,1.0,600.0,nan,nan,04-10-2021_16-57-01.209770,04-10-2021_17-07-09.122051,stress-mem,eks,10,600,1,1,b1e601d,First stress memory test
abddcd4f-e494-4e72-9883-f78883f76d32,04-10-2021_16-12-38.022300,0.9499999999999998,190.0,15.0,205.0,04-10-2021_17-13-14.284099,04-10-2021_17-23-22.847721,stress-mem,eks,10,600,1,1,b1e601d,First stress memory test
abddcd4f-e494-4e72-9883-f78883f76d32,04-10-2021_16-12-38.022300,0.9749999999999998,292.5,15.0,307.5,04-10-2021_17-29-16.750651,04-10-2021_17-39-26.567444,stress-mem,eks,10,600,1,1,b1e601d,First stress memory test
abddcd4f-e494-4e72-9883-f78883f76d32,04-10-2021_16-12-38.022300,0.9749999999999998,292.5,15.0,307.5,04-10-2021_17-45-45.433366,04-10-2021_17-55-54.293822,stress-mem,eks,10,600,1,1,b1e601d,First stress memory test
abddcd4f-e494-4e72-9883-f78883f76d32,04-10-2021_16-12-38.022300,0.95,285.0,30.0,315.0,04-10-2021_18-01-48.226280,04-10-2021_18-11-55.531151,stress-mem,eks,10,600,1,1,b1e601d,First stress memory test
